,language,pos,neg
0,javascript,8.445385611440134,3.3747192969601896
1,java,7.461733526086078,3.3251717822962554
2,python,8.049193928928135,3.576388794845136
3,c#,7.874751814485391,3.355321308032196
4,php,8.387037717113781,4.164542967602324
5,android,7.4537967400727485,3.4650999762728487
6,c++,7.428849682984085,4.776425295258253
7,ios,7.835096067756192,4.252103886342868
8,sql,9.526467743531146,2.8417373998363087
9,html,7.467328512959652,3.3490373067295063
10,r,8.780070881858348,3.8959564943317377
11,jquery,8.819963040869014,3.3393747560955305
12,c,7.402885194207701,4.439262149612503
13,mysql,8.63456710788099,3.216577664687946
14,ruby-on-rails,8.716720139503446,4.04225926978279
15,css,7.812794908907242,3.290097413744221
16,node.js,6.292325032256045,4.935489303212851
17,excel,12.90465178911486,2.755701747249745
18,angular,7.759999851499852,3.403611907236907
19,iphone,7.568235503184847,4.252424132322967
